rank,lemma,pos
1,the,
2,be,
3,and,
4,of,
5,to,
6,a,
7,in,
8,have,
9,it,
10,you,
11,he,
12,for,
13,they,
14,not,
15,that,
16,we,
17,on,
18,with,
19,this,
20,I,
21,do,
22,as,
23,at,
24,she,
25,but,
26,from,
27,by,
28,will,
29,or,
30,say,
31,go,
32,so,
33,all,
34,if,
35,one,
36,would,
37,about,
38,can,
39,which,
40,there,
41,know,
42,more,
43,get,
44,who,
45,like,
46,when,
47,think,
48,make,
49,time,
50,see,
51,what,
52,up,
53,some,
54,other,
55,out,
56,good,
57,people,
58,year,
59,take,
60,no,
61,well,
62,because,
63,very,
64,just,
65,come,
66,could,
67,work,
68,use,
69,than,
70,now,
71,then,
72,also,
73,into,
74,only,
75,look,
76,want,
77,give,
78,first,
79,new,
80,way,
81,find,
82,over,
83,any,
84,after,
85,day,
86,where,
87,thing,
88,most,
89,should,
90,need,
91,much,
92,right,
93,how,
94,back,
95,mean,
96,even,
97,may,
98,here,
99,many,
100,such,
101,last,
102,child,
103,tell,
104,really,
105,call,
106,before,
107,company,
108,through,
109,down,
110,show,
111,life,
112,man,
113,change,
114,place,
115,long,
116,between,
117,feel,
118,too,
119,still,
120,problem,
121,write,
122,same,
123,lot,
124,great,
125,try,
126,leave,
127,number,
128,both,
129,own,
130,part,
131,point,
132,little,
133,help,
134,ask,
135,meet,
136,start,
137,talk,
138,something,
139,put,
140,another,
141,become,
142,interest,
143,country,
144,old,
145,each,
146,school,
147,late,
148,high,
149,different,
150,off,
151,next,
152,end,
153,live,
154,why,
155,while,
156,world,
157,week,
158,play,
159,might,
160,must,
161,home,
162,never,
163,include,
164,course,
165,house,
166,report,
167,group,
168,case,
169,woman,
170,around,
171,book,
172,family,
173,seem,
174,let,
175,again,
176,kind,
177,keep,
178,hear,
179,system,
180,every,
181,question,
182,during,
183,always,
184,big,
185,set,
186,small,
187,study,
188,follow,
189,begin,
190,important,
191,since,
192,run,
193,under,
194,turn,
195,few,
196,bring,
197,early,
198,hand,
199,state,
200,move,
201,money,
202,fact,
203,however,
204,area,
205,provide,
206,name,
207,read,
208,friend,
209,month,
210,large,
211,business,
212,without,
213,information,
214,open,
215,order,
216,government,
217,word,
218,issue,
219,market,
220,pay,
221,build,
222,hold,
223,service,
224,against,
225,believe,
226,second,
227,though,
228,yes,
229,love,
230,increase,
231,job,
232,plan,
233,result,
234,away,
235,example,
236,happen,
237,offer,
238,young,
239,close,
240,program,
241,lead,
242,buy,
243,understand,
244,thank,
245,far,
246,today,
247,hour,
248,student,
249,face,
250,hope,
251,idea,
252,cost,
253,less,
254,room,
255,until,
256,reason,
257,form,
258,spend,
259,head,
260,car,
261,learn,
262,level,
263,person,
264,experience,
265,once,
266,member,
267,enough,
268,bad,
269,city,
270,night,
271,able,
272,support,
273,whether,
274,line,
275,present,
276,side,
277,quite,
278,although,
279,sure,
280,term,
281,least,
282,age,
283,low,
284,speak,
285,within,
286,process,
287,public,
288,often,
289,train,
290,possible,
291,actually,
292,rather,
293,view,
294,together,
295,consider,
296,price,
297,parent,
298,hard,
299,party,
300,local,
301,control,
302,already,
303,concern,
304,product,
305,lose,
306,story,
307,almost,
308,continue,
309,stand,
310,whole,
311,yet,
312,rate,
313,care,
314,expect,
315,effect,
316,sort,
317,ever,
318,anything,
319,cause,
320,fall,
321,deal,
322,water,
323,send,
324,allow,
325,soon,
326,watch,
327,base,
328,probably,
329,suggest,
330,past,
331,power,
332,test,
333,visit,
334,center,
335,grow,
336,nothing,
337,return,
338,mother,
339,walk,
340,matter,
341,mind,
342,value,
343,office,
344,record,
345,stay,
346,force,
347,stop,
348,several,
349,light,
350,develop,
351,remember,
352,bit,
353,share,
354,real,
355,answer,
356,sit,
357,figure,
358,letter,
359,decide,
360,language,
361,subject,
362,class,
363,development,
364,town,
365,half,
366,minute,
367,food,
368,break,
369,clear,
370,future,
371,either,
372,ago,
373,per,
374,remain,
375,top,
376,among,
377,win,
378,color,
379,involve,
380,reach,
381,social,
382,period,
383,across,
384,note,
385,history,
386,create,
387,drive,
388,along,
389,type,
390,sound,
391,eye,
392,music,
393,game,
394,political,
395,free,
396,receive,
397,moment,
398,sale,
399,policy,
400,further,
401,body,
402,require,
403,wait,
404,general,
405,appear,
406,toward,
407,team,
408,easy,
409,individual,
410,full,
411,black,
412,sense,
413,perhaps,
414,add,
415,rule,
416,pass,
417,produce,
418,sell,
419,short,
420,agree,
421,law,
